Version,Type,Class file format version[8],Release date,End of public updates (free),End of extended support (paid),Released,Codename,,_1,_2,Spider,"25 September 2018
(7 years ago)","14 September 2021
(4 years ago)","19 September 2023
(2 years ago)","16 September 2025
(28 days ago)"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,7,,,,,,,,,
,,,,,,Scoped values,,,,,,,,,
,,,,,,September 2023,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,15,
,,,,,,,,,,,,,,"Record patterns, pattern matching for switch, virtual threads",
,,,,,,,,,,,,,,"String templates, unnamed classes and main methods",
,,,,,,,,,,,,,,Vector API,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,12,,,,,,,,,
,,,,,,"Foreign function and memory API, unnamed variables and patterns",,,,,,,,,
,,,,,,"Structured concurrency, string templates",,,,,,,,,
,,,,,,Vector API,,,,,,,,,
,,,,,,September 2024,,,,,,,,,
,,,,,,12,,,,,,,,,
,,,,,,Markdown documentation comments,,,,,,,,,
,,,,,,"Primitive types in Patterns, instanceof, and switch, Class-File API, Stream Gatherers, Module import declarations, Implicitly declared classes and instance main methods, structured concurrency, scoped values, flexible constructor bodies",,,,,,,,,
,,,,,,Vector API,,,,,,,,,
,,,,,,24,,,,,,,,,
,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,"Module Import Declarations
Flexible Constructor Bodies"
,,,,,,,,,,,,,,,"Primitive Types in Patterns, instanceof, and switch
PEM Encodings of Cryptographic Objects"
,,,,,,,,,,,,,,,32-bit x86 Port
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
