Version,Date,URL
v8.85,2025-10-13,
v8.1,,
v4.57,2025-10-10,
v4.57,,https://www.dbf2002.com/dbf-recovery/
v7.82,,https://www.dbf2002.com/csv-converter/
v7.63,,https://www.dbf2002.com/dbf-converter/
